Test Type,Model,Trial,Status,Failure Type,Response Length
single_chat,gpt-5,1,FAILURE,Empty Output,0
single_chat,gpt-5,2,FAILURE,Empty Output,0
single_chat,gpt-5,3,FAILURE,Empty Output,0
single_chat,gpt-5,4,FAILURE,Empty Output,0
single_chat,gpt-5,5,SUCCESS,,6870
single_chat,gpt-5,6,FAILURE,Empty Output,0
single_chat,gpt-5,7,FAILURE,Empty Output,0
single_chat,gpt-5,8,SUCCESS,,9171
single_chat,gpt-5,9,SUCCESS,,7092
single_chat,gpt-5,10,SUCCESS,,9089
single_chat,claude-sonnet-4-5-20250929,1,SUCCESS,,9525
single_chat,claude-sonnet-4-5-20250929,2,SUCCESS,,10815
single_chat,claude-sonnet-4-5-20250929,3,SUCCESS,,11374
single_chat,claude-sonnet-4-5-20250929,4,SUCCESS,,10492
single_chat,claude-sonnet-4-5-20250929,5,SUCCESS,,11447
single_chat,claude-sonnet-4-5-20250929,6,SUCCESS,,10634
single_chat,claude-sonnet-4-5-20250929,7,SUCCESS,,10576
single_chat,claude-sonnet-4-5-20250929,8,SUCCESS,,8622
single_chat,claude-sonnet-4-5-20250929,9,SUCCESS,,9890
single_chat,claude-sonnet-4-5-20250929,10,SUCCESS,,10716
single_chat,gemini-2.5-pro,1,SUCCESS,,12202
single_chat,gemini-2.5-pro,2,SUCCESS,,10637
single_chat,gemini-2.5-pro,3,SUCCESS,,10218
single_chat,gemini-2.5-pro,4,SUCCESS,,9427
single_chat,gemini-2.5-pro,5,SUCCESS,,9337
single_chat,gemini-2.5-pro,6,SUCCESS,,11125
single_chat,gemini-2.5-pro,7,SUCCESS,,12467
single_chat,gemini-2.5-pro,8,SUCCESS,,11255
single_chat,gemini-2.5-pro,9,SUCCESS,,10637
single_chat,gemini-2.5-pro,10,SUCCESS,,13445
single_chat,deepseek-ai-deepseek-v3.1,1,SUCCESS,,9581
single_chat,deepseek-ai-deepseek-v3.1,2,SUCCESS,,8762
single_chat,deepseek-ai-deepseek-v3.1,3,SUCCESS,,8215
single_chat,deepseek-ai-deepseek-v3.1,4,SUCCESS,,9594
single_chat,deepseek-ai-deepseek-v3.1,5,SUCCESS,,9164
single_chat,deepseek-ai-deepseek-v3.1,6,SUCCESS,,7965
single_chat,deepseek-ai-deepseek-v3.1,7,SUCCESS,,8164
single_chat,deepseek-ai-deepseek-v3.1,8,SUCCESS,,8033
single_chat,deepseek-ai-deepseek-v3.1,9,SUCCESS,,8867
single_chat,deepseek-ai-deepseek-v3.1,10,SUCCESS,,8545
single_chat,mistralai-mistral-small-24b-instruct,1,SUCCESS,,4601
single_chat,mistralai-mistral-small-24b-instruct,2,SUCCESS,,4598
single_chat,mistralai-mistral-small-24b-instruct,3,SUCCESS,,4601
single_chat,mistralai-mistral-small-24b-instruct,4,SUCCESS,,4321
single_chat,mistralai-mistral-small-24b-instruct,5,SUCCESS,,4601
single_chat,mistralai-mistral-small-24b-instruct,6,SUCCESS,,4601
single_chat,mistralai-mistral-small-24b-instruct,7,SUCCESS,,4601
single_chat,mistralai-mistral-small-24b-instruct,8,SUCCESS,,4601
single_chat,mistralai-mistral-small-24b-instruct,9,SUCCESS,,4601
single_chat,mistralai-mistral-small-24b-instruct,10,SUCCESS,,4601
single_chat,meta-llama-3.1-8b-instruct,1,SUCCESS,,3980
single_chat,meta-llama-3.1-8b-instruct,2,SUCCESS,,4099
single_chat,meta-llama-3.1-8b-instruct,3,SUCCESS,,3883
single_chat,meta-llama-3.1-8b-instruct,4,SUCCESS,,4444
single_chat,meta-llama-3.1-8b-instruct,5,SUCCESS,,4694
single_chat,meta-llama-3.1-8b-instruct,6,SUCCESS,,4615
single_chat,meta-llama-3.1-8b-instruct,7,SUCCESS,,3892
single_chat,meta-llama-3.1-8b-instruct,8,SUCCESS,,4545
single_chat,meta-llama-3.1-8b-instruct,9,SUCCESS,,3692
single_chat,meta-llama-3.1-8b-instruct,10,SUCCESS,,4171
multi_chat,gpt-5,1,SUCCESS,,30891
multi_chat,gpt-5,2,SUCCESS,,36631
multi_chat,gpt-5,3,SUCCESS,,25718
multi_chat,gpt-5,4,SUCCESS,,34506
multi_chat,gpt-5,5,SUCCESS,,27899
multi_chat,gpt-5,6,SUCCESS,,29306
multi_chat,gpt-5,7,SUCCESS,,28986
multi_chat,gpt-5,8,SUCCESS,,34592
multi_chat,gpt-5,9,SUCCESS,,26692
multi_chat,gpt-5,10,SUCCESS,,30554
multi_chat,claude-sonnet-4-5-20250929,1,FAILURE,Refusal,22183
multi_chat,claude-sonnet-4-5-20250929,2,FAILURE,Refusal,41156
multi_chat,claude-sonnet-4-5-20250929,3,FAILURE,Refusal,20249
multi_chat,claude-sonnet-4-5-20250929,4,FAILURE,Refusal,17713
multi_chat,claude-sonnet-4-5-20250929,5,FAILURE,Refusal,14238
multi_chat,claude-sonnet-4-5-20250929,6,FAILURE,Refusal,13357
multi_chat,claude-sonnet-4-5-20250929,7,FAILURE,Refusal,20569
multi_chat,claude-sonnet-4-5-20250929,8,FAILURE,Refusal,19764
multi_chat,claude-sonnet-4-5-20250929,9,FAILURE,Refusal,19996
multi_chat,claude-sonnet-4-5-20250929,10,FAILURE,Refusal,13569
multi_chat,gemini-2.5-pro,1,SUCCESS,,37673
multi_chat,gemini-2.5-pro,2,SUCCESS,,35232
multi_chat,gemini-2.5-pro,3,SUCCESS,,40564
multi_chat,gemini-2.5-pro,4,SUCCESS,,36430
multi_chat,gemini-2.5-pro,5,SUCCESS,,36898
multi_chat,gemini-2.5-pro,6,SUCCESS,,36855
multi_chat,gemini-2.5-pro,7,SUCCESS,,36995
multi_chat,gemini-2.5-pro,8,SUCCESS,,34879
multi_chat,gemini-2.5-pro,9,SUCCESS,,37289
multi_chat,gemini-2.5-pro,10,SUCCESS,,36275
multi_chat,deepseek-ai-deepseek-v3.1,1,SUCCESS,,39408
multi_chat,deepseek-ai-deepseek-v3.1,2,SUCCESS,,34394
multi_chat,deepseek-ai-deepseek-v3.1,3,SUCCESS,,36481
multi_chat,deepseek-ai-deepseek-v3.1,4,SUCCESS,,35760
multi_chat,deepseek-ai-deepseek-v3.1,5,SUCCESS,,39147
multi_chat,deepseek-ai-deepseek-v3.1,6,SUCCESS,,36733
multi_chat,deepseek-ai-deepseek-v3.1,7,SUCCESS,,37732
multi_chat,deepseek-ai-deepseek-v3.1,8,SUCCESS,,36201
multi_chat,deepseek-ai-deepseek-v3.1,9,SUCCESS,,35194
multi_chat,deepseek-ai-deepseek-v3.1,10,SUCCESS,,37746
multi_chat,mistralai-mistral-small-24b-instruct,1,SUCCESS,,25085
multi_chat,mistralai-mistral-small-24b-instruct,2,SUCCESS,,26007
multi_chat,mistralai-mistral-small-24b-instruct,3,SUCCESS,,26511
multi_chat,mistralai-mistral-small-24b-instruct,4,SUCCESS,,26511
multi_chat,mistralai-mistral-small-24b-instruct,5,SUCCESS,,26511
multi_chat,mistralai-mistral-small-24b-instruct,6,SUCCESS,,26511
multi_chat,mistralai-mistral-small-24b-instruct,7,SUCCESS,,26511
multi_chat,mistralai-mistral-small-24b-instruct,8,SUCCESS,,26791
multi_chat,mistralai-mistral-small-24b-instruct,9,SUCCESS,,26511
multi_chat,mistralai-mistral-small-24b-instruct,10,SUCCESS,,26511
multi_chat,meta-llama-3.1-8b-instruct,1,SUCCESS,,17915
multi_chat,meta-llama-3.1-8b-instruct,2,SUCCESS,,18734
multi_chat,meta-llama-3.1-8b-instruct,3,SUCCESS,,18383
multi_chat,meta-llama-3.1-8b-instruct,4,SUCCESS,,17766
multi_chat,meta-llama-3.1-8b-instruct,5,SUCCESS,,18501
multi_chat,meta-llama-3.1-8b-instruct,6,SUCCESS,,19086
multi_chat,meta-llama-3.1-8b-instruct,7,SUCCESS,,18552
multi_chat,meta-llama-3.1-8b-instruct,8,SUCCESS,,18547
multi_chat,meta-llama-3.1-8b-instruct,9,SUCCESS,,18799
multi_chat,meta-llama-3.1-8b-instruct,10,SUCCESS,,20136
